representation,model,n_folds,r2_mean,r2_sd,r2_mean_sd,rmse_mean,rmse_sd,rmse_mean_sd,mae_mean,mae_sd,mae_mean_sd,ccc_mean,ccc_sd,ccc_mean_sd
2D,RandomForest,15,0.5674701986318259,0.016106325499472707,0.5675 +/- 0.0161,0.595100916633603,0.017537028900336857,0.5951 +/- 0.0175,0.4332736508355515,0.010160742422254624,0.4333 +/- 0.0102,0.6989938021706614,0.012279959029193115,0.6990 +/- 0.0123
3D,RandomForest,15,0.2451559408023177,0.018155994562822537,0.2452 +/- 0.0182,0.7861186225360605,0.01442736762898333,0.7861 +/- 0.0144,0.5842757566888941,0.009983491648329238,0.5843 +/- 0.0100,0.3943208454317808,0.017490078523434937,0.3943 +/- 0.0175
Hybrid,RandomForest,15,0.5666080467099889,0.01642468001253734,0.5666 +/- 0.0164,0.5956685221975557,0.01687887710389027,0.5957 +/- 0.0169,0.4343994738772069,0.009881920288685397,0.4344 +/- 0.0099,0.6963455769383896,0.012054910607856878,0.6963 +/- 0.0121
2D,SVR,15,0.6401830449964121,0.014755202217481765,0.6402 +/- 0.0148,0.5426754546510892,0.013313506592114423,0.5427 +/- 0.0133,0.3926582859115061,0.007218935561076267,0.3927 +/- 0.0072,0.787269707143399,0.008412488271144786,0.7873 +/- 0.0084
3D,SVR,15,0.11604047472141298,0.014214567145903172,0.1160 +/- 0.0142,0.8509046596133076,0.022388113355243277,0.8509 +/- 0.0224,0.6066763797692781,0.013340506029394588,0.6067 +/- 0.0133,0.2671048839194527,0.012060667518724774,0.2671 +/- 0.0121
Hybrid,SVR,15,0.6407730604308858,0.014468026052954719,0.6408 +/- 0.0145,0.5422365151848304,0.013235986617744893,0.5422 +/- 0.0132,0.3922976820625018,0.007028226639410437,0.3923 +/- 0.0070,0.7874583073825219,0.008296308077674109,0.7875 +/- 0.0083
2D,XGBoost,15,0.6205583871015143,0.01419334905965321,0.6206 +/- 0.0142,0.5573116505230259,0.01353595689514394,0.5573 +/- 0.0135,0.4040101113733552,0.00846638110306993,0.4040 +/- 0.0085,0.7570149122260545,0.009881403054645225,0.7570 +/- 0.0099
3D,XGBoost,15,0.2241420878802299,0.01979989027767415,0.2241 +/- 0.0198,0.7970246056309771,0.01741833541271755,0.7970 +/- 0.0174,0.593562272550168,0.010996185313901447,0.5936 +/- 0.0110,0.38913960003923553,0.019630842762901148,0.3891 +/- 0.0196
Hybrid,XGBoost,15,0.6192403024479117,0.014308693008690535,0.6192 +/- 0.0143,0.5582738001370485,0.013468951078642094,0.5583 +/- 0.0135,0.40478681130028665,0.008577906393438996,0.4048 +/- 0.0086,0.7552312411285214,0.009519057404205802,0.7552 +/- 0.0095
