representation,model,n_folds,auc_roc_mean,auc_roc_sd,auc_roc_mean_sd,mcc_mean,mcc_sd,mcc_mean_sd,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_mean_sd,pr_auc_mean,pr_auc_sd,pr_auc_mean_sd
2D,RandomForest,6,0.8347650171179583,0.08199387575661186,0.8348 ± 0.0820,0.4557760430302044,0.13938518314346066,0.4558 ± 0.1394,0.7196156240273887,0.06694338248926188,0.7196 ± 0.0669,0.8130906480456265,0.09617998179485027,0.8131 ± 0.0962
3D,RandomForest,6,0.6036220043572984,0.06660830146944924,0.6036 ± 0.0666,0.1303557896198393,0.16977756894558704,0.1304 ± 0.1698,0.5638966697790228,0.07744901708782151,0.5639 ± 0.0774,0.5981814793047974,0.07137868899650911,0.5982 ± 0.0714
Hybrid,RandomForest,6,0.8942421413009648,0.058206519547170564,0.8942 ± 0.0582,0.5674044254803077,0.14615028724935783,0.5674 ± 0.1462,0.7716230936819173,0.07367718565110774,0.7716 ± 0.0737,0.8829824277512791,0.06623204673902838,0.8830 ± 0.0662
2D,SVC,6,0.83478835978836,0.09314830857029165,0.8348 ± 0.0931,0.5692894005958689,0.1891361482842489,0.5693 ± 0.1891,0.7812636165577341,0.09466170792381173,0.7813 ± 0.0947,0.8087549279018577,0.10871221037655858,0.8088 ± 0.1087
3D,SVC,6,0.5487394957983193,0.10985946942559209,0.5487 ± 0.1099,0.14899231104476843,0.08377200443432456,0.1490 ± 0.0838,0.5724400871459694,0.03918226607893946,0.5724 ± 0.0392,0.5559389032100585,0.10426985579440326,0.5559 ± 0.1043
Hybrid,SVC,6,0.9066682228446935,0.043977377102715376,0.9067 ± 0.0440,0.5910316818750928,0.1098919287780289,0.5910 ± 0.1099,0.7938219732337378,0.055706310741717543,0.7938 ± 0.0557,0.9019608173767469,0.04260234000777382,0.9020 ± 0.0426
2D,XGBoost,6,0.7888266417678182,0.07250409083306393,0.7888 ± 0.0725,0.4091552434762116,0.2021327757611988,0.4092 ± 0.2021,0.7006613756613757,0.09935751614269255,0.7007 ± 0.0994,0.7582034874594719,0.11571308111156677,0.7582 ± 0.1157
3D,XGBoost,6,0.623887332710862,0.0765944785945122,0.6239 ± 0.0766,0.19462835048125804,0.2050002158097634,0.1946 ± 0.2050,0.5958839091192032,0.10129487598371831,0.5959 ± 0.1013,0.601166559088901,0.06927130771292886,0.6012 ± 0.0693
Hybrid,XGBoost,6,0.8937986305633364,0.05603249533125323,0.8938 ± 0.0560,0.6306850296431686,0.1382778363559914,0.6307 ± 0.1383,0.8105197634609399,0.07141780959594156,0.8105 ± 0.0714,0.8757500977252161,0.06051462499277969,0.8758 ± 0.0605
