model,comparison,n_folds,mean_auc_left,mean_auc_right,mean_difference_left_minus_right,t_statistic,p_value,significant_p_lt_0_05
RandomForest,2D vs 3D,6,0.8347650171179583,0.6036220043572984,0.23114301276065982,4.971886285324527,0.004204936151968887,True
RandomForest,2D vs Hybrid,6,0.8347650171179583,0.8942421413009648,-0.05947712418300658,-2.2423008172848653,0.07499777778001783,False
SVC,2D vs 3D,6,0.83478835978836,0.5487394957983193,0.2860488639900405,5.941847701898494,0.0019282966047339326,True
SVC,2D vs Hybrid,6,0.83478835978836,0.9066682228446935,-0.07187986305633365,-2.617148140210136,0.04726012494250647,True
XGBoost,2D vs 3D,6,0.7888266417678182,0.623887332710862,0.1649393090569561,3.6860514792522068,0.014203853109485179,True
XGBoost,2D vs Hybrid,6,0.7888266417678182,0.8937986305633364,-0.10497198879551815,-3.4630010722825935,0.017984157489864285,True
