model,comparison,n_folds,mean_auc_left,mean_auc_right,mean_difference_left_minus_right,t_statistic,p_value,significant_p_lt_0_05
RandomForest,2D vs 3D,3,0.8772331154684095,0.5524120759414877,0.3248210395269218,18.358314565326044,0.0029539743551536316,True
RandomForest,2D vs Hybrid,3,0.8772331154684095,0.88588546529723,-0.00865234982882046,-0.2997648270512186,0.7926413362138324,False
SVC,2D vs 3D,3,0.8332866479925304,0.5957671957671957,0.23751945222533458,2.7601456956224255,0.11001949433251625,False
SVC,2D vs Hybrid,3,0.8332866479925304,0.8958294428882665,-0.06254279489573607,-1.1205846262253358,0.37895680197798226,False
XGBoost,2D vs 3D,3,0.8306878306878307,0.5784624961095549,0.25222533457827573,7.570420598180528,0.01700478401548849,True
XGBoost,2D vs Hybrid,3,0.8306878306878307,0.8948490507314036,-0.06416122004357294,-1.5827787076540283,0.2543007284006326,False
