representation,model,n_folds,auc_roc_mean,auc_roc_sd,auc_roc_mean_sd,mcc_mean,mcc_sd,mcc_mean_sd,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_mean_sd,pr_auc_mean,pr_auc_sd,pr_auc_mean_sd
2D,RandomForest,3,0.8772331154684095,0.08256167998727396,0.8772 ± 0.0826,0.5427791243832557,0.10143474782308588,0.5428 ± 0.1014,0.7631652661064425,0.046991456716002314,0.7632 ± 0.0470,0.8533761665829687,0.10299319930791791,0.8534 ± 0.1030
3D,RandomForest,3,0.5524120759414877,0.054030680372209976,0.5524 ± 0.0540,0.02394446469088016,0.15384364033252496,0.0239 ± 0.1538,0.5144257703081232,0.06670240668050746,0.5144 ± 0.0667,0.5459855510865244,0.05495773138888894,0.5460 ± 0.0550
Hybrid,RandomForest,3,0.88588546529723,0.041286323959363914,0.8859 ± 0.0413,0.5647840655569759,0.1561527691683545,0.5648 ± 0.1562,0.7732181761593525,0.08674362876985808,0.7732 ± 0.0867,0.8723395610439306,0.052331516007322595,0.8723 ± 0.0523
2D,SVC,3,0.8332866479925304,0.118094415340754,0.8333 ± 0.1181,0.5785265825430191,0.20602307738568879,0.5785 ± 0.2060,0.7864456893868659,0.10321268729974689,0.7864 ± 0.1032,0.7926784833332453,0.13460543237680075,0.7927 ± 0.1346
3D,SVC,3,0.5957671957671957,0.032217801399341835,0.5958 ± 0.0322,0.15802083353436713,0.09067814322983979,0.1580 ± 0.0907,0.576797385620915,0.04253516234697636,0.5768 ± 0.0425,0.5750619220071208,0.08189322809245206,0.5751 ± 0.0819
Hybrid,SVC,3,0.8958294428882665,0.04783061451771576,0.8958 ± 0.0478,0.5588365589275156,0.10819317085898801,0.5588 ± 0.1082,0.7789915966386554,0.05483546536230622,0.7790 ± 0.0548,0.8891594232125707,0.04095249816213875,0.8892 ± 0.0410
2D,XGBoost,3,0.8306878306878307,0.05704706682053573,0.8307 ± 0.0570,0.5165410389097957,0.04106884927867772,0.5165 ± 0.0411,0.7551820728291316,0.023789742977687992,0.7552 ± 0.0238,0.8162111621591923,0.05887860300288615,0.8162 ± 0.0589
3D,XGBoost,3,0.5784624961095549,0.09187036129190254,0.5785 ± 0.0919,0.10838353324609577,0.2839514328826553,0.1084 ± 0.2840,0.5540771864301276,0.14097703961956018,0.5541 ± 0.1410,0.5556786774285302,0.060938432189462044,0.5557 ± 0.0609
Hybrid,XGBoost,3,0.8948490507314036,0.036567359222371414,0.8948 ± 0.0366,0.5939526263734748,0.09615877571126027,0.5940 ± 0.0962,0.7872704637410518,0.04407821449338313,0.7873 ± 0.0441,0.8732052246463274,0.036125746143733,0.8732 ± 0.0361
