model,comparison,n_folds,mean_auc_left,mean_auc_right,mean_difference_left_minus_right,t_statistic,p_value,significant_p_lt_0_05
RandomForest,2D vs 3D,15,0.8845482011627822,0.7259267511354801,0.15862145002730207,115.31293750390935,2.983540505102714e-22,True
RandomForest,2D vs Hybrid,15,0.8845482011627822,0.8841379973024469,0.00041020386033520465,0.7983838485175565,0.4379820963561798,False
SVC,2D vs 3D,15,0.8857428292226343,0.6862394074713909,0.19950342175124308,56.28781376932315,6.693543957808148e-18,True
SVC,2D vs Hybrid,15,0.8857428292226343,0.8855241467466431,0.00021868247599103144,2.389348927557288,0.03150478773654532,True
XGBoost,2D vs 3D,15,0.8847587353757382,0.722131644818914,0.16262709055682406,65.04395086910446,8.906581560847657e-19,True
XGBoost,2D vs Hybrid,15,0.8847587353757382,0.8825981533002788,0.0021605820754591943,3.4145389839053575,0.004189950644203498,True
