representation,model,n_folds,r2_mean,r2_sd,r2_mean_sd,rmse_mean,rmse_sd,rmse_mean_sd,mae_mean,mae_sd,mae_mean_sd,ccc_mean,ccc_sd,ccc_mean_sd
2D,RandomForest,6,0.626760724555693,0.04592000567368274,0.6268 +/- 0.0459,0.603027233280797,0.05093993140604821,0.6030 +/- 0.0509,0.4686181649764378,0.047744229968863315,0.4686 +/- 0.0477,0.7583087252814674,0.019022891893990233,0.7583 +/- 0.0190
3D,RandomForest,6,0.20286285373930382,0.07502315093550947,0.2029 +/- 0.0750,0.8858831689600574,0.11349833732630035,0.8859 +/- 0.1135,0.7055358200107157,0.07944302953243014,0.7055 +/- 0.0794,0.38012655656248207,0.07247224200734467,0.3801 +/- 0.0725
Hybrid,RandomForest,6,0.7154668957567522,0.03526062240461605,0.7155 +/- 0.0353,0.5304553744757029,0.0800332762815349,0.5305 +/- 0.0800,0.41243489768477964,0.05559276657432468,0.4124 +/- 0.0556,0.8052743755648967,0.03388114341562632,0.8053 +/- 0.0339
2D,SVR,6,0.560079140669613,0.0956677113804208,0.5601 +/- 0.0957,0.6507139946296748,0.06598899804534444,0.6507 +/- 0.0660,0.52883755083257,0.06033580265072772,0.5288 +/- 0.0603,0.7098364403082179,0.05965838231000264,0.7098 +/- 0.0597
3D,SVR,6,-0.15650540366060664,0.33234230935951165,-0.1565 +/- 0.3323,1.0447052736177782,0.03836558416875647,1.0447 +/- 0.0384,0.8576762909545027,0.06754037242024137,0.8577 +/- 0.0675,0.3518046988130357,0.11257263661747553,0.3518 +/- 0.1126
Hybrid,SVR,6,0.7151299160023029,0.048601147167996864,0.7151 +/- 0.0486,0.5253784258802706,0.04764066667071172,0.5254 +/- 0.0476,0.42157248961709365,0.03837179877326704,0.4216 +/- 0.0384,0.7898063290243481,0.038764094448499334,0.7898 +/- 0.0388
2D,XGBoost,6,0.5760615020407028,0.08714861843327126,0.5761 +/- 0.0871,0.6381994105770363,0.03510534262283245,0.6382 +/- 0.0351,0.4947585496307833,0.03518679922870913,0.4948 +/- 0.0352,0.7488313327085753,0.03385008304790938,0.7488 +/- 0.0339
3D,XGBoost,6,0.12931223989050378,0.17547360507241208,0.1293 +/- 0.1755,0.9179326652223757,0.08944182242755663,0.9179 +/- 0.0894,0.7410019114719516,0.06063684583606456,0.7410 +/- 0.0606,0.3776382472202746,0.09298739008699557,0.3776 +/- 0.0930
Hybrid,XGBoost,6,0.7337549559273752,0.022607284188851457,0.7338 +/- 0.0226,0.5115890276574407,0.05968596816902211,0.5116 +/- 0.0597,0.40732818661057135,0.04496529462262661,0.4073 +/- 0.0450,0.8301996176959908,0.017534964023503224,0.8302 +/- 0.0175
