epoch,step,train_loss_epoch,train_loss_step,val/mae,val/r2,val/rmse,val_loss
0,49,,1.2940548658370972,,,,
0,99,,0.7819265127182007,,,,
0,106,,,0.7820937633514404,0.0001957416534423828,1.061358094215393,1.126481056213379
0,106,1.0007927417755127,,,,,
1,149,,0.8973517417907715,,,,
1,199,,0.9133084416389465,,,,
1,213,,,0.7610896229743958,0.08624476194381714,1.0146572589874268,1.0295294523239136
1,213,0.9686289429664612,,,,,
2,249,,0.7901495099067688,,,,
2,299,,0.9482242465019226,,,,
2,320,,,0.7230578660964966,0.16622161865234375,0.9692364931106567,0.9394194483757019
2,320,0.8956624269485474,,,,,
3,349,,0.634320855140686,,,,
3,399,,0.9992164969444275,,,,
3,427,,,0.7088583111763,0.22054588794708252,0.9371297359466553,0.8782121539115906
3,427,0.8343573212623596,,,,,
4,449,,0.6347446441650391,,,,
4,499,,0.6846554279327393,,,,
4,534,,,0.6621832847595215,0.3014584183692932,0.8871572017669678,0.7870479226112366
4,534,0.7852035760879517,,,,,
5,549,,0.5858772397041321,,,,
5,599,,0.6105964183807373,,,,
5,641,,,0.6485809683799744,0.327572226524353,0.8704168200492859,0.7576254606246948
5,641,0.731292724609375,,,,,
6,649,,0.6909670233726501,,,,
6,699,,0.6741582751274109,,,,
6,748,,,0.6381908059120178,0.3617793321609497,0.8479883670806885,0.7190842032432556
6,748,0.6810336112976074,,,,,
7,749,,0.6331636309623718,,,,
7,799,,0.5735602974891663,,,,
7,849,,0.5570416450500488,,,,
7,855,,,0.6252456307411194,0.3451985716819763,0.8589329719543457,0.7377658486366272
7,855,0.6443950533866882,,,,,
8,899,,0.8004733324050903,,,,
8,949,,0.3734656870365143,,,,
8,962,,,0.6038784980773926,0.41277509927749634,0.8134046792984009,0.6616272330284119
8,962,0.6228245496749878,,,,,
9,999,,0.753814697265625,,,,
9,1049,,0.5375771522521973,,,,
9,1069,,,0.585053563117981,0.4344179034233093,0.798274576663971,0.6372422575950623
9,1069,0.590349018573761,,,,,
10,1099,,0.7220619916915894,,,,
10,1149,,0.4798256754875183,,,,
10,1176,,,0.5935624837875366,0.4674745202064514,0.7745949625968933,0.599997341632843
10,1176,0.5682224631309509,,,,,
11,1199,,0.5147222280502319,,,,
11,1249,,0.4502578675746918,,,,
11,1283,,,0.5754504203796387,0.4953410029411316,0.7540557980537415,0.5686001181602478
11,1283,0.5429134368896484,,,,,
12,1299,,0.5670256614685059,,,,
12,1349,,0.4793856739997864,,,,
12,1390,,,0.5578666925430298,0.5051196813583374,0.7467144131660461,0.557582437992096
12,1390,0.5254935622215271,,,,,
13,1399,,0.37520939111709595,,,,
13,1449,,0.6501081585884094,,,,
13,1497,,,0.5561766624450684,0.5279439687728882,0.7292916178703308,0.5318662524223328
13,1497,0.5081719160079956,,,,,
14,1499,,0.5223580002784729,,,,
14,1549,,0.5867477059364319,,,,
14,1599,,0.5772365927696228,,,,
14,1604,,,0.5953808426856995,0.482873797416687,0.7633131146430969,0.582646906375885
14,1604,0.4927518963813782,,,,,
15,1649,,0.4796619415283203,,,,
15,1699,,0.46120893955230713,,,,
15,1711,,,0.5451527237892151,0.5174212455749512,0.7373752593994141,0.5437222719192505
15,1711,0.4749404489994049,,,,,
16,1749,,0.35035139322280884,,,,
16,1799,,0.3962129056453705,,,,
16,1818,,,0.5398143529891968,0.5507529377937317,0.7114543914794922,0.5061673521995544
16,1818,0.4686204493045807,,,,,
17,1849,,0.6891655325889587,,,,
17,1899,,0.39162611961364746,,,,
17,1925,,,0.5353109836578369,0.55574631690979,0.7074894905090332,0.5005413293838501
17,1925,0.4580274522304535,,,,,
18,1949,,0.48492300510406494,,,,
18,1999,,0.5557026267051697,,,,
18,2032,,,0.5313313603401184,0.5649415850639343,0.7001292705535889,0.490181028842926
18,2032,0.44836491346359253,,,,,
19,2049,,0.4867444634437561,,,,
